Control ID,Control Name,Control Family,Control Description,Current State,Desired State,Gap,GAP Control Description,Gap Control Recommendation ,Justification for Supporting Controls
AC-1,Access Control Policy and Procedures,Access Control,"Develop, document, and disseminate a formal policy and procedures to manage system access",Policy exists but outdated and partially communicated to staff.,"Current, approved access control policies and procedures disseminated to all personnel; reviewed annually.","The organization does not have a formal process to regularly review, approve, and share the access control policy, which can lead to outdated information and inconsistent communication.","Implement a formal process to manage the access control policy that includes yearly reviews, leadership approval, version tracking, and required distribution to employees with confirmation that they’ve read it.","AC-1, Supporting controls AT-2, PL-2, CA-7",AT-2 ensures staff awareness; PL-2 ensures policy maintenance; CA-7 ensures ongoing oversight
AC-2,Account Management,Access Control,"Manage the full lifecycle of information system accounts—creation, modification, enabling, disabling, and removal—to prevent unauthorized access",Accounts created manually; no automated deprovisioning.,Automated provisioning/deprovisioning with quarterly reviews and documented approvals.,"User accounts are created manually with no automated setup or removal, and quarterly access reviews are not done consistently, increasing the risk of unauthorized access, unused accounts, and compliance issues.","Implement a automated processes to create and remove user accounts, require quarterly access reviews with formal approvals, and keep records showing how accounts are managed throughout their lifecycle.","AC-2. Supporting Controls -AC-2(3), AC-2(4), AC-2(7), AU-2 & AU 6","AC-2(3)Automatically disable inactive or terminated accounts, AC-2(4)Conduct regular (e.g., quarterly) account reviews and document results, AU-2 -Log account creation/deactivation events & AU-6 - review logs to ensure compliance"
AC-3,Access Enforcement,Access Control,"Requires information systems to enforce approved authorizations for logical access to information and resources, aligning with organization-defined policies",RBAC partially applied; shared admin accounts exist.,"Access is controlled using strict role-based access, each user has their own account, shared admin accounts are not allowed, and permissions are managed centrally at the system level.","Role-based access is not applied consistently, shared admin accounts are in use, and access is not centrally managed, reducing accountability and weakening least-privilege controls.","Implemnt a centrally managed role-based access using individual user accounts, remove shared admin credentials, enforce least-privilege access, and standardize how access is controlled across systems.","AC-3(7) Supporting Controls - AC-2, AC-5, AC-6 AC, IA-2, IA-5, CA-7","AC-2 ensures unique account ownership, AC-5 prevents privilege sharing, AC-6 enforces least privilege, IA-2 enforces individual authentication, IA-5 Protects administrative credentials, CA-7 ensures ongoing privilege oversight."
AC-5,Separation of Duties,Access Control,"To divide duty-related tasks among different individuals to prevent fraud, misuse, and errors",Some financial approval and travel booking tasks can be done by same user.,"Critical tasks are separated, and approvals require two people.","Some users can both approve financial transactions and book travel, which reduces separation of duties and increases the risk of fraud, mistakes, and unauthorized activity.","Create a clear chart that defines who is responsible for each task, and set up an approval process so duties are properly separated and controlled.","AC-5 Supporting Controls - AC-3(2), AC-2, AC-6, AU-2/AU-6, CA-7 ","AC-3(2) enforces dual authorization; AC-2 Ensures unique accounts to prevent role overlap; AC-6 restricts privileges; AU-2/AU-6 Provides evidence that dual approvals occurred,  CA-7 monitors ongoing compliance with separation-of-duties policies."
IA-2,Identification and Authentication,Identification & Authentication,Organizational users and processes to be uniquely identified and authenticated before accessing information systems,Password-only authentication.,MFA for all users including administrators and remote access.,"Access is currently protected only by passwords, which increases the risk of unauthorized entry to systems and sensitive data. Multi-factor authentication (MFA) is not required for administrators or remote users, leaving accounts less secure.","Implement multi-factor authentication (MFA) for all users, including administrators and remote users, so that logging in requires an extra verification step beyond just a password","IA-2,  Supporting Controls - IA-5, AC-2, AC-17, AU-2/AU-6, CA-","IA-5 ensures MFA credentials are properly managed, AC-2 Ensures accounts are uniquely assigned to individuals to enable MFA enforcement,  AC-17 enforces MFA for remote access, AU-2 / AU-6 Provides evidence of authentication attempts and MFA compliance, CA-7 ensures ongoing MFA enforcement."
IA-5,Authenticator Management,Identification & Authentication,Manage authentication credentials for users.,No formal password expiration or complexity enforcement.,Strong password policy enforced; periodic password changes.,"There are no rules requiring strong passwords or regular password changes, which increases the risk of weak or reused passwords being compromised and leading to unauthorized access.","Implement a strong password policy that requires complex passwords, regular updates, and secure handling of credentials for all users","IA-5,  Supporting Controls - IA-2, AC-2, AC-6, AU-2/AU-6, CA-","IA-2 links credentials to unique users; AC-2 ensures unique account, AU-2/AU-6 Provides evidence of password policy compliance and authentication events, CA-7 monitors ongoing compliance with password requirements"
AU-2,Audit Events,Audit & Accountability,"Identify, define, and document which events must be logged in their information systems to support security monitoring, investigations, and accountability",Basic logging; not all transactions logged.,All financial and PII transactions logged; centralized log storage.,"System logs are incomplete and do not track all financial and personal data activities. In addition, logs are not centrally collected, which limits visibility, accountability, and the ability to quickly detect incidents.","Impement full logging of all financial and personal data (PII) activity, and centralize audit logs with proper storage and retention to improve visibility, accountability, and incident detection","AU-2, Supporting Controls - AU-3, AU-6, AU-9 , SI-4, CA-7 ",AU-3 ensures detailed audit records; AU-6 requires centralized log review; AU-9 protects logs from tampering; SI-4 enables monitoring; CA-7 ensures ongoing audit effectiveness.
AU-6,"Audit Review, Analysis, and Reporting",Audit & Accountability,Regularly review and analyze audit logs and report suspicious activity.,Logs rarely reviewed unless incident occurs.,Automated SIEM monitoring with weekly review and alerts for anomalies.,"Audit logs are rarely reviewed unless an incident occurs, resulting in delayed detection of suspicious activity and weak proactive monitoring",Implement automated SIEM-based monitoring with defined alert thresholds and require scheduled weekly audit log reviews to detect anomalies and unauthorized activity,"AU-6, Supporting Controls - SI-4, AU-2, AU-12, IR-5, CA-7 ","SI-4 enables automated anomaly detection; AU-2 Ensures necessary security events are logged for SIEM ingestion, AU-12 Ensures systems consistently generate logs for analysis, IR-5 connects alerts to incident response, CA-7 ensures continuous monitoring oversight"
AU-8,Time Stamps,Audit & Accountability,"Systems must generate audit records with accurate, synchronized time stamps",System clocks not synchronized.,Network Time Protocol (NTP) used; all logs time-synced.,"System clocks are not synchronized, causing inconsistent timestamps that reduce the reliability and correlation of audit logs.","Implement centralized Network Time Protocol (NTP) synchronization across all systems to ensure consistent, accurate timestamps in audit logs.","AU-8, Supporting Controls - AU-12, AU-6, SI-4, SC-45, CA-7 ","AU-12 ensures logs contain synchronized timestamps, AU-6 enables accurate log correlation, SI-4 Requires consistent time for event detection accuracy, SC-45 enforces trusted time sources, CA-7 ensures ongoing synchronization oversight"
SC-7,Boundary Protection,System & Communications Protection,"Monitor, control, and protect communications at external and internal network boundaries.",Basic firewall deployed; no internal segmentation.,Network segmentation implemented; IDS/IPS monitoring traffic.,"Network protection relies on a basic perimeter firewall without internal segmentation or intrusion monitoring, increasing the risk of lateral movement and undetected malicious activity.",Implement internal network segmentation and deploy IDS/IPS monitoring to enforce traffic boundaries and detect unauthorized or malicious activity.,"SC-7, Supporting Controls - SI-4, SC-5, IA-3, CA-7 ","SI-4 enables network monitoring, SC-5 strengthens bL13oundary resilience, IA-3 restricts unauthorized devices,  CA-7 ensures ongoing boundary protection oversight"
